Quasar,ra,dec,redshift,redshift_reference,m1450,Mabs1450,redshift_mgii,redshift_mgii_err,redshift_mgii_ref,fwhm_mgii,fwhm_mgii_err_up,fwhm_mgii_err_low,L3000,L3000err_up,L3000err_low,BHmass,BHmass_reference
J030117.01+002025.96,45.320875,0.340544,5.5,Stern2000,24.1,-22.45,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J030331.40-001912.90,45.880833,-0.32025,6.079,DeRosa2011,21.21,-25.5,6.079,0.001,DeRosa2011,2307,63,63,0.145,0.0017,0.0017,1.47,DeRosa2011
J030516.92-315055.90,46.320483,-31.848861,6.6139,Venemans2019,20.72,-26.13,6.602,0.002,Farina2022,2347,239,280,1.83,0.019417,0.023301,5.4,Farina2022
J030642.51+185315.82,46.677135,18.887726,5.36,Wang2016,17.59,-28.92,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J030947.49+271757.38,47.447875,27.299273,6.1,Khusanova2022,20.96,-25.76,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J031343.84-180636.40,48.432662,-18.110111,7.6423,Wang2021a,20.94,-26.13,7.611,0.004,Yang2021,3670,405,405,2.718447,0.135922,0.135922,16.09,Yang2021
J031649.87-134032.30,49.207791,-13.675638,5.99,Willott2010a,21.84,-24.85,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J031710.42-263315.71,49.293428,-26.554364,5.94,Banados2016,20.91,-25.77,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J031941.66-100846.00,49.923583,-10.146111,6.8275,Yang2021,21.19,-25.71,6.816,0.004,Yang2021,2006,20,20,1.864078,0.271845,0.271845,3.98,Yang2021
J032214.55-184117.47,50.560605,-18.688185,6.09,Banados2022,20.45,-26.27,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J032340.34-470120.14,50.91808,-47.02226,6.241,Eilers2020,20.74,-26.02,6.241,0.002,Eilers2020,1862,654,654,1.253701,nan,nan,2.81,Eilers2020
J032835.51-325322.84,52.147942,-32.889678,5.86,Venemans2015b,20.05,-26.61,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J033027.92-402516.36,52.61632,-40.42121,6.239,Eilers2020,20.34,-26.42,6.239,0.004,Eilers2020,7197,360,360,1.730587,nan,nan,49.36,Eilers2020
J033550.53-154744.50,53.960524,-15.795694,5.87,Banados2016,20.47,-26.19,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
