Quasar,ra,dec,redshift,redshift_reference,m1450,Mabs1450,redshift_mgii,redshift_mgii_err,redshift_mgii_ref,fwhm_mgii,fwhm_mgii_err_up,fwhm_mgii_err_low,L3000,L3000err_up,L3000err_low,BHmass,BHmass_reference
J104845.06+463718.55,162.18777,46.621819,6.2284,Carilli2010,19.56,-27.19,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J105131.80-015159.00,162.8825,-1.866389,6.34,Matsuoka2022,23.37,-23.41,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J105405.32+463730.25,163.522167,46.62507,5.47,Yang2019a,19.58,-26.96,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J105727.60-175831.70,164.365,-17.975472,5.34,Yang2019a,20.1,-26.41,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J105807.72+293041.73,164.532185,29.511591,6.5846,Yang2021,21.16,-25.68,6.585,0.005,Yang2021,2656,97,97,1.126214,0.291262,0.291262,5.42,Yang2021
J105928.61-090620.40,164.8692,-9.105667,5.92,Willott2010a,20.86,-25.81,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J110248.67-010550.90,165.702792,-1.097472,6.07,Matsuoka2022,22.71,-24,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J110301.66+011845.70,165.756917,1.312694,6,Matsuoka2022,23.16,-23.53,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J110327.65+022947.20,165.865208,2.496444,6.49,Matsuoka2022,22.64,-24.18,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J110421.59+213428.80,166.089958,21.574667,6.7662,Yang2021,20.21,-26.67,6.766,0.005,Yang2021,3695,225,225,2.932039,0.174757,0.174757,16.94,Yang2021
J110423.75+024708.60,166.098958,2.785722,6.41,Matsuoka2022,22.74,-24.06,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J110746.24+041101.20,166.942667,4.183667,5.99,Matsuoka2022,23.51,-23.18,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J110756.01-011819.00,166.983375,-1.305278,6.06,Matsuoka2022,21.6,-25.11,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J110953.44+565707.64,167.472659,56.952122,5.95,Banados2016,20.74,-25.94,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J111027.01+022800.70,167.612542,2.466861,6.07,Matsuoka2022,23.15,-23.56,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J111033.98-132945.68,167.64159,-13.496023,6.5144,Venemans2020,21.25,-25.57,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J111427.15+021517.60,168.613125,2.254889,6.55,Matsuoka2022,22.08,-24.75,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J111633.75+585322.04,169.140616,58.889455,5.73,Banados2022,20.59,-26.03,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J111921.65+011308.60,169.840208,1.219056,5.78,Wang2019b,21.06,-25.57,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J112001.48+064124.30,170.00616,6.690083,7.0848,Venemans2020,20.38,-26.58,7.07,0.003,Yang2021,3402,73,73,2.601942,0.194175,0.194175,13.52,Yang2021
J112143.65-071839.69,170.431881,-7.311026,5.71,Yang2019a,20.21,-26.4,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J112319.84+201229.73,170.832658,20.208258,6.41,Banados2022,20.7,-26.1,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J112746.08+022231.50,171.942,2.375417,6.13,Matsuoka2022,23.51,-23.22,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J112842.48+265312.00,172.177019,26.886668,5.77,Banados2016,20.78,-25.85,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J112925.37+184624.33,172.355699,18.773425,6.823,Banados2021,21.08,-25.82,6.823,0.002,Banados2021,1774,36,36,1.631068,0.368932,0.368932,2.91,Yang2021
J113034.65+045013.10,172.644375,4.836972,6.68,Matsuoka2022,22.92,-23.94,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J113218.15+003800.10,173.075625,0.633361,5.66,Matsuoka2019a,23.42,-23.18,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J113308.78+160355.79,173.286603,16.065498,5.61,Yang2017,19.17,-27.42,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J113316.77-065644.90,173.319861,-6.945805,5.77,Banados2022,20.66,-25.97,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J113350.43+481431.50,173.460113,48.242084,6.233,Banados2022,21.63,-25.12,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J113414.23+082853.32,173.559283,8.481478,5.69,Yang2017,20.27,-26.34,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J113508.93+501133.00,173.787208,50.1925,6.5851,Yang2021,20.65,-26.19,6.579,0.001,Yang2021,3762,129,129,2.097087,0.15534,0.15534,14.85,Yang2021
J113717.73+354956.90,174.32387,35.832472,6.007,Shen2019,19.4,-27.3,5.9535,0.0052,Shen2019,3073.9,783.6,783.6,2.10928,0.010608,0.010608,9.94,Shen2019
J113735.37-104934.54,174.397365,-10.82626,5.5,Yang2019a,19.87,-26.68,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J113753.64+004509.70,174.4735,0.752694,6.4,Matsuoka2019a,22.6,-24.2,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J113910.09-121704.38,174.792041,-12.284549,5.81,Banados2016,20.2,-26.44,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114138.20-201555.65,175.409184,-20.265458,5.69,Banados2016,20.35,-26.26,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114143.06+711925.07,175.429408,71.323631,5.86,Banados2022,20.71,-25.95,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114338.33+380828.72,175.909725,38.141311,5.8356,Eilers2020,20.01,-26.64,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114632.66-015438.30,176.636083,-1.910639,6.16,Matsuoka2018b,23.31,-23.43,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114648.42+012420.10,176.70175,1.405583,6.27,Matsuoka2018b,23.05,-23.71,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114658.89-000537.70,176.745375,-0.093806,6.3,Matsuoka2018b,25.31,-21.46,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114706.41-010958.20,176.776708,-1.166167,5.31,Yang2017,19.13,-27.37,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114803.29+070208.33,177.01369,7.035647,6.324,Farina2022,20.35,-26.43,6.324,0.002,Farina2022,4895,165,154,3.24,0.042718,0.036893,31.24,Farina2022
J114816.21+525339.30,177.06754,52.89425,5.7,Mahabal2005,22.47,-24.14,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114816.65+525150.43,177.06938,52.864008,6.4189,Bertoldi2003,19.24,-27.56,6.4163,0.0058,Shen2019,5317,94.9,94.9,6.695899,0.030695,0.030695,52.99,Shen2019
J114833.18+005642.26,177.13825,0.945072,5.84,Venemans2015b,21.86,-24.79,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J114946.45+074850.63,177.443522,7.814065,5.66,Yang2017,20.27,-26.33,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J115006.96+021131.00,177.529,2.191944,6,Matsuoka2022,22.12,-24.57,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J115221.27+005536.69,178.08863,0.926858,6.3643,Decarli2018,21.74,-25.05,6.36,0.004,Onoue2019,3240,280,450,0.677,0.011,0.011,6.26,Onoue2019
J115329.59+283027.11,178.37331,28.50753,5.68,Banados2022,19.84,-26.77,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J115414.26-121117.48,178.559413,-12.188189,5.83,Banados2016,20.6,-26.05,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J115924.01+020041.80,179.850042,2.011611,6.15,Matsuoka2022,24.42,-22.31,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J120103.02+013356.40,180.262583,1.565667,6.06,Matsuoka2018a,22.86,-23.85,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J120246.37-005701.70,180.693208,-0.950472,5.9289,Izumi2018,23.85,-22.82,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J120253.13+025630.80,180.721375,2.941889,6.02,Matsuoka2022,23.92,-22.78,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J120505.10-000027.97,181.271242,-0.007769,6.723,Izumi2021a,21.38,-25.49,6.699,0.007,Onoue2019,5620,220,990,0.896,0.066,0.066,21.66,Onoue2019
J120737.44+063010.37,181.90601,6.502881,6.0366,Decarli2018,20.13,-26.57,6.014,0.0139,Shen2019,6578.8,439.7,439.7,1.788788,0.011016,0.011016,41.93,Shen2019
J120754.14-000553.30,181.975583,-0.098139,6.01,Matsuoka2016,23.93,-22.77,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J120859.23-020034.80,182.246792,-2.009667,6.1165,Izumi2019,22.02,-24.7,6.144,0.01,Onoue2019,3850,920,1990,0.438,0.004,0.004,7.11,Onoue2019
J120914.93+532748.07,182.312192,53.463353,5.99,Banados2022,21.05,-25.64,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J120923.99-000646.50,182.349958,-0.112917,5.86,Matsuoka2018b,24.15,-22.51,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J121049.12+013426.70,182.704667,1.574083,5.97,Matsuoka2019a,24.09,-22.6,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J121226.98+050533.49,183.112421,5.092636,6.4386,Venemans2020,19.82,-26.99,6.39,0.004,Farina2022,4459,311,334,4.36,0.058252,0.058252,30.08,Farina2022
J121311.81-124603.45,183.29919,-12.767624,5.86,Banados2014,19.22,-27.44,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J121516.88+002324.74,183.82033,0.390205,5.93,Venemans2015b,21.28,-25.39,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J121627.58+451910.70,184.114917,45.319639,6.648,Yang2021,21.27,-25.59,6.648,0.003,Yang2021,2816,292,292,1.126214,0.23301,0.23301,6.1,Yang2021
J121721.34+013142.47,184.338933,1.528464,6.2,Banados2016,21.43,-25.32,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J121811.19+180750.54,184.546625,18.130706,5.3,Yang2019a,19.89,-26.6,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J121905.34+005037.50,184.77225,0.84375,6.01,Matsuoka2018b,22.85,-23.85,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J122331.91+025721.50,185.882958,2.955972,6.27,Matsuoka2022,22.5,-24.26,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J122825.15-023339.25,187.10479,-2.560903,5.77,Banados2016,20.88,-25.75,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J122913.21+041927.70,187.30503,4.324362,5.89,Banados2014,21.1,-25.56,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J123137.77+005230.30,187.907375,0.875083,6.69,Matsuoka2019a,22.48,-24.39,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J123333.47+062234.19,188.389473,6.376165,5.302,Lyke2020,19.59,-26.9,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J123606.05+465725.14,189.025227,46.956982,5.55,Yang2019a,19.33,-27.24,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J124340.81+252923.88,190.92003,25.489967,5.85,Jiang2016,20.62,-26.03,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J124353.93+010038.50,190.974708,1.010694,7.0749,Izumi2021b,22.82,-24.13,7.07,0.01,Matsuoka2019b,3100,900,900,0.27,0.019,0.019,3.62,Matsuoka2019b
J124359.03+032253.80,190.995958,3.381611,5.97,Matsuoka2022,24.44,-22.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J124413.67+862554.19,191.05696,86.43172,5.32,Belladitta2023,19.22,-27.28,5.32,0.005,Belladitta2023,nan,nan,nan,nan,nan,nan,nan,--
J125051.93+313021.90,192.71637,31.506083,6.138,Shen2019,20.26,-26.47,6.1377,0.0053,Shen2019,2603,174.3,174.3,2.5397,0.010364,0.010364,7.82,Shen2019
J125335.82-024655.33,193.399241,-2.782035,5.8,Banados2022,21.21,-25.43,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J125437.08-001410.70,193.6545,-0.236306,6.13,Matsuoka2019a,25.82,-20.91,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J125630.97+253251.45,194.129033,25.547624,5.91,Banados2016,20.9,-25.77,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J125757.47+634937.20,194.489458,63.827,5.95,Shen2019,20.48,-26.2,5.952,0.0119,Shen2019,4450.1,823.6,823.6,1.246619,0.016402,0.016402,16.02,Shen2019
J125845.66-004757.50,194.69025,-0.799306,6.22,Matsuoka2022,23.76,-22.99,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J130523.43+152323.64,196.347625,15.389901,5.69,Banados2022,20.44,-26.17,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J130608.26+035626.30,196.53441,3.940639,6.033,Venemans2020,19.94,-26.76,6.015,0.001,Farina2022,3895,69,58,3.64,0.023301,0.023301,20.97,Farina2022
J131050.13-005054.10,197.708875,-0.848361,6.82,Matsuoka2022,22.23,-24.67,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J131052.75+253206.68,197.719801,25.535188,5.84,Banados2016,20.7,-25.95,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J131128.20+454814.72,197.867498,45.80409,5.66,Banados2022,20.87,-25.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J131258.66+010902.10,198.244417,1.150583,5.9,Matsuoka2022,23.03,-23.64,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J131326.06-261721.83,198.358593,-26.289398,5.54,Yang2019a,19.32,-27.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J131440.41+543237.22,198.668378,54.543672,5.52,Yang2019a,19.35,-27.21,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J131608.14+102832.80,199.033917,10.475778,6.329,Yang2021,21.06,-25.72,6.329,0.005,Yang2021,2866,763,763,2.873786,0.640777,0.640777,10.09,Yang2021
J131732.73+012741.60,199.386375,1.461556,5.88,Matsuoka2022,22.27,-24.39,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J131746.92+001722.20,199.4455,0.2895,6.94,Matsuoka2022,22.12,-24.8,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J131911.30+095051.49,199.79709,9.847637,6.1347,Venemans2020,19.74,-26.99,6.123,0.001,Farina2022,3747,112,113,3.43,0.01165,0.01165,18.84,Farina2022
J132308.18+012619.20,200.784083,1.438667,6.03,Matsuoka2022,23.74,-22.96,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J132352.02-013941.40,200.96675,-1.6615,6.44,Matsuoka2022,22.19,-24.62,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J132539.95+441559.00,201.416458,44.266389,6.45,Matsuoka2022,20.86,-25.95,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J132700.35+014147.70,201.751458,1.696583,6.23,Matsuoka2022,23.39,-23.36,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J132741.33+573238.43,201.922208,57.544008,5.74,Banados2016,20.63,-25.99,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J133028.26+622412.28,202.617752,62.403411,5.43,Gloudemans2022,20.28,-26.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J133206.46-011325.70,203.026917,-1.223806,6.31,Matsuoka2022,21.74,-25.03,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J133550.81+353315.80,203.9617,35.554388,5.9012,Carilli2010,20.05,-26.62,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J133556.24-032838.20,203.984318,-3.477279,5.67,Yang2017,18.91,-27.69,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J133833.25-001832.90,204.638542,-0.309139,6.7,Matsuoka2022,22.88,-23.99,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J134040.24+281328.16,205.167677,28.224488,5.339,Lyke2020,19.45,-27.06,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J134208.11+092838.61,205.533772,9.477391,7.54,Banados2019a,20.34,-26.71,7.51,0.01,Yang2021,2640,215,215,2.582524,0.213592,0.213592,8.11,Yang2021
J134400.87+012827.80,206.003625,1.474389,6.72,Matsuoka2019a,23.41,-23.46,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J134733.69-015750.60,206.890375,-1.964056,6.15,Matsuoka2019a,22,-24.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J134905.63+015608.90,207.273458,1.935806,6.94,Matsuoka2022,22.09,-24.83,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J135012.04-002705.20,207.550167,-0.451444,6.49,Matsuoka2019a,22.44,-24.38,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J135023.61+374835.67,207.59836,37.809909,5.69,Banados2022,20.76,-25.85,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J135106.72-211120.27,207.778005,-21.188964,5.81,Banados2022,20.69,-25.95,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J135649.41-264230.23,209.205856,-26.708397,5.72,Banados2016,19.49,-27.13,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J135731.81-084301.73,209.382561,-8.717147,5.77,Banados2022,21.44,-25.19,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J135747.34+530542.50,209.44725,53.095139,5.32,McGreer2018,20.97,-25.53,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140001.31+554619.33,210.005458,55.772036,5.85,Kim2022,23.4,-23.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140028.79-001151.50,210.119958,-0.197639,6.04,Matsuoka2018b,23.75,-22.95,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140029.99-012521.00,210.124958,-1.4225,6.04,Matsuoka2018b,23,-23.7,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140120.86+454253.46,210.336899,45.71485,5.45,Gloudemans2022,21.04,-25.5,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140147.34+274935.02,210.447244,27.826393,6.166,Shen2019,20.24,-26.5,6.1662,0.007,Shen2019,4738.5,769.5,769.5,1.778177,0.023399,0.023399,21.69,Shen2019
J140254.66+402403.20,210.72773,40.400888,6.04,Banados2016,20.9,-25.8,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140319.13+090250.99,210.829703,9.047498,5.88,Banados2016,20.3,-26.36,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140329.33-120034.14,210.87222,-12.009482,5.84,Banados2014,20.88,-25.77,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140617.42+433033.20,211.572583,43.509222,6.39,Matsuoka2022,23.04,-23.75,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140629.12-011611.20,211.621333,-1.269778,6.33,Matsuoka2018b,21.85,-24.93,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140646.88-014402.60,211.695333,-1.734056,6.1,Matsuoka2018b,23.35,-23.37,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J140911.38-155911.66,212.297434,-15.986572,5.83,Banados2016,21.27,-25.38,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J141111.29+121737.40,212.79704,12.293722,5.903,DeRosa2011,20.03,-26.64,5.903,0.001,DeRosa2011,2824,168,168,0.51,0.008,0.008,4.13,DeRosa2011
J141327.12-223342.25,213.36299,-22.561737,5.92,Banados2016,19.88,-26.79,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J141439.54+013036.50,213.66475,1.510139,5.94,Matsuoka2018a,23.15,-23.53,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J141446.82+544631.80,213.695083,54.7755,5.42,McGreer2018,22.7,-23.83,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J141455.90-132849.28,213.732923,-13.480354,5.78,Banados2016,21,-25.63,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J141612.71+001546.20,214.052958,0.262833,6.03,Matsuoka2018a,24.31,-22.39,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J141653.01+014702.20,214.220875,1.783944,6.07,Matsuoka2018b,23.44,-23.27,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J141728.67+011712.40,214.369458,1.286778,6.02,Matsuoka2018a,23.87,-22.83,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J141956.59+571840.40,214.985792,57.311222,5.35,Gloudemans2022,20.74,-25.77,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142036.34-160230.25,215.15143,-16.041735,5.73,Morganson2012,19.13,-27.49,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142143.29+263157.12,215.430368,26.532534,6.28,Banados2022,20.4,-26.37,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142200.23+001103.00,215.500958,0.184167,5.89,Matsuoka2018b,23.87,-22.79,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142307.21-022519.00,215.780042,-2.421944,5.9,Matsuoka2019a,22.41,-24.26,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142331.71-001809.10,215.882125,-0.302528,6.13,Matsuoka2018a,24.85,-21.88,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142516.30+325409.00,216.31792,32.9025,5.8918,Carilli2010,20.25,-26.41,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142517.72-001540.90,216.323833,-0.261361,6.18,Matsuoka2018a,23.3,-23.44,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142611.33-012822.80,216.547208,-1.473,6.01,Matsuoka2019a,22.95,-23.75,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142729.70+352209.00,216.87375,35.369167,5.53,Cool2006,21.89,-24.67,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142738.59+331242.00,216.91079,33.211666,6.118,Khusanova2022,20.68,-26.04,6.1178,0.005,Shen2019,2473.9,212.2,212.2,2.206482,0.012459,0.012459,6.59,Shen2019
J142821.39-160243.30,217.089133,-16.045361,6.1498,Decarli2018,19.84,-26.89,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142903.08-010443.40,217.262833,-1.078722,6.8,Matsuoka2018a,23.84,-23.05,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142920.22-000207.40,217.33425,-0.035389,6.04,Matsuoka2018a,23.28,-23.42,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142937.96+330416.32,217.408168,33.0712,5.39,Cool2006,21,-25.52,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J142952.17+544717.70,217.46737,54.788249,6.19,Khusanova2022,20.7,-26.04,6.1188,0.0084,Shen2019,3842.2,1415.6,1415.6,1.63623,0.010415,0.010415,13.68,Shen2019
J143054.67+531520.32,217.727792,53.255644,6.29,Kim2022,21.32,-25.45,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J143140.45-072443.47,217.918533,-7.412074,6.14,Banados2016,20.44,-26.29,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J143335.22+281950.44,218.396749,28.330678,5.91,Banados2022,20.82,-25.85,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J143505.15+044908.29,218.771476,4.818977,6.14,Banados2022,20.83,-25.9,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J143611.74+500706.90,219.04891,50.118583,5.85,Carilli2010,20.15,-26.5,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J143751.83+232313.35,219.465938,23.387042,5.305,Lyke2020,19.12,-27.38,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J144001.30-010702.20,220.005417,-1.117278,6.13,Matsuoka2018a,24.14,-22.59,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J144045.91+001912.90,220.191292,0.32025,6.55,Matsuoka2022,23.6,-23.23,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J144128.70+502239.40,220.369583,50.377611,5.66,Wagenweld2022,19.43,-27.17,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J144823.33+433305.90,222.097208,43.551639,6.14,Matsuoka2019a,22.37,-24.36,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J145005.39-014438.90,222.522458,-1.744139,6.63,Matsuoka2022,23.12,-23.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J145520.26+031833.00,223.834417,3.309167,6.06,Matsuoka2022,22.89,-23.82,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J145836.16+101249.65,224.650677,10.213792,5.6,Banados2022,19.68,-26.9,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J150036.84+281603.04,225.15349,28.26751,5.55,Yang2019a,18.97,-27.6,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J150941.78-174926.80,227.42408,-17.824111,6.1225,Decarli2018,19.64,-27.09,6.118,0.001,Farina2022,4067,156,153,4.87,0.042718,0.046602,26.44,Farina2022
J151248.71+442217.50,228.202958,44.371528,6.19,Matsuoka2019a,24.67,-22.07,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J151339.65+085406.59,228.415188,8.901829,5.47,Yang2017,19.81,-26.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J151444.91+211419.84,228.687124,21.238843,5.92,Banados2016,20.61,-26.06,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J151448.71+012252.25,228.702938,1.381181,5.76,Banados2022,21.38,-25.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J151657.87+422852.90,229.241125,42.481361,6.13,Matsuoka2019a,22.38,-24.35,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J152330.66+293539.67,230.877738,29.594354,5.73,Wenzl2021,20.17,-26.45,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J152345.70+334759.84,230.940419,33.799956,5.33,Lyke2020,20.25,-26.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J152555.79+430324.00,231.482458,43.056667,6.27,Matsuoka2019a,23.15,-23.61,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J152637.84-205000.66,231.657658,-20.833517,6.5869,Venemans2020,19.7,-27.14,6.558,0.006,Farina2022,5196,588,493,4.34,0.104854,0.100971,40.75,Farina2022
J152712.86+064121.91,231.803583,6.689418,5.57,Yang2017,19.71,-26.86,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J153532.87+194320.10,233.886958,19.72225,6.37,Yang2021,19.79,-27,6.37,0.001,Yang2021,4372,266,266,6.504854,0.330097,0.330097,35.32,Yang2021
J154346.82+170028.54,235.945084,17.007929,5.82,Banados2016,20.17,-26.47,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J154505.62+423211.60,236.273417,42.536556,6.5,Matsuoka2018b,22.67,-24.15,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
