Lbol,Phi,Error_Phi,Error_Lbol
46.548704975547196,-7.2089031015243075,0.18079958833478416,0.0
46.96394052775349,-7.686454433683336,0.19614706164485907,-0.21099999999999997
47.17102629495672,-8.221623018657478,0.1506857204435017,-0.10500000000000043
47.301321154247944,-8.558522016886483,0.1588883266304395,-0.06600000000000038
47.48506365478028,-8.792581001557345,0.1807997942175137,-0.09299999999999926
47.70258479588432,-9.248715084199258,0.1807993047448362,-0.11000000000000015
48.17577034001108,-10.309808637195749,1.1594352097575442,-0.23900000000000077
45.789835483895324,-6.134101417014255,0.4182,0.0
45.463731502932454,-6.285798184038927,0.6502339183745469,0.0
45.75480805730916,-6.234713057207626,0.16978706030728197,-0.15000000000000002
45.94964386866317,-6.618975294602942,0.15902257105725925,-0.1
46.14501793568701,-6.793475526946955,0.15077582113406618,-0.1
46.34086186864901,-6.954214961519615,0.14587030978099702,-0.1
46.53711450015519,-6.994097523968365,0.11762169150891498,-0.1
46.73372151284445,-7.238378659096462,0.12597453826034077,-0.1
46.93063496988162,-7.836234676164319,0.221117224443659,-0.1
47.12781279071977,-8.062034676828269,0.17146591855590487,-0.1
47.32521820509612,-8.306385859512357,0.14113870333598233,-0.1
47.62168423120939,-8.76149506730414,0.12188202681656012,-0.15000000000000002
48.21559483356422,-10.382938617368941,0.6502339183745456,-0.30000000000000004
47.06863397106098,-8.10572997086518,0.27785000000000004,0.0
46.4821258278635,-7.088550958981343,0.1527,0.29800000000000043
45.52569795486849,-5.916129510627969,0.6536500000000001,0.4899999999999999
45.182965210576356,-4.614902179799853,0.61,0.0
45.8909117110342,-5.87326220552102,0.4419905321158357,0.0
46.229176220039236,-6.4056929319385,0.49583082957019875,0.125
45.8909117110342,-5.888061376097928,0.90701285466053,0.0
46.229176220039236,-6.3908937613615935,0.9777339094509767,0.125
45.722456218325384,-5.848437457691072,0.5306963425791131,0.0
